512 10 100 -128
C using both took: 72327
C using both took: 71247
C using both took: 87509
C using both took: 89298
C using both took: 93111
C using both took: 87797
C using both took: 90025
C using both took: 87234
C using both took: 88402
C using both took: 85416
C using both took: 70559
512 10 100 -32
C using both took: 70200
C using both took: 85281
C using both took: 83835
C using both took: 87437
C using both took: 85761
C using both took: 90116
C using both took: 86187
C using both took: 87058
C using both took: 88182
C using both took: 89767
C using both took: 84703
512 10 100 2
C using both took: 62931
C using both took: 60351
C using both took: 54853
C using both took: 53672
C using both took: 52395
C using both took: 53604
C using both took: 54861
C using both took: 52727
C using both took: 51871
C using both took: 52410
C using both took: 52074
512 10 100 32
C using both took: 38615
C using both took: 37883
C using both took: 36593
C using both took: 37327
C using both took: 37242
C using both took: 39299
C using both took: 39624
C using both took: 38591
C using both took: 37712
C using both took: 37544
C using both took: 38797
512 10 100 128
C using both took: 38392
C using both took: 37206
C using both took: 37131
C using both took: 37913
C using both took: 36780
C using both took: 37321
C using both took: 37457
C using both took: 38433
C using both took: 37873
C using both took: 37532
C using both took: 37089
1024 10 100 -128
C using both took: 558228
C using both took: 557072
C using both took: 559190
C using both took: 556363
C using both took: 559327
C using both took: 561467
C using both took: 558110
C using both took: 556681
C using both took: 555819
C using both took: 556835
C using both took: 560594
1024 10 100 -32
C using both took: 557943
C using both took: 560687
C using both took: 559501
C using both took: 557933
C using both took: 562374
C using both took: 559594
C using both took: 556708
C using both took: 555235
C using both took: 554003
C using both took: 556316
C using both took: 556678
1024 10 100 2
C using both took: 324630
C using both took: 325080
C using both took: 326229
C using both took: 325994
C using both took: 328269
C using both took: 324353
C using both took: 326034
C using both took: 329822
C using both took: 327331
C using both took: 325261
C using both took: 325540
1024 10 100 32
C using both took: 174135
C using both took: 172272
C using both took: 171348
C using both took: 173066
C using both took: 172265
C using both took: 171897
C using both took: 172126
C using both took: 172573
C using both took: 173863
C using both took: 175030
C using both took: 171718
1024 10 100 128
C using both took: 173262
C using both took: 174711
C using both took: 173012
C using both took: 174904
C using both took: 173424
C using both took: 173117
C using both took: 173570
C using both took: 171847
C using both took: 174040
C using both took: 171762
C using both took: 174817
2048 10 100 -128
C using both took: 4042745
C using both took: 4042571
C using both took: 4048155
C using both took: 4074665
C using both took: 4076576
